id,type,question,option_A,option_B,option_C,option_D,option_E,option_F,answer
1,single,下列哪一個是 HSRP 的虛擬 MAC 位址。,0000.1010.ac0c,0000.0c07.ac0c,00ac.b280.ac0c,2b00.bc10.010c,,,B
2,single,下列哪一個選項是描述 VRRP 的物件追蹤。,It monitors traffic flow and link utilization.,It ensures the best VRRP router is the virtual router master for the group.,It causes traffic to dynamically move to higher bandwidth links.,It thwarts man-in-the-middle attacks.,,,B
3,single,針對 GLBP，哪一個路由器會回應用戶端的 ARP 請求。,The active virtual gateway will reply with one of four possible virtual MAC addresses.,All GLBP member routers will reply in round-robin fashion.,The causes traffic to dynamically move to higher bandwidth links.,It thwarts main-in-the-middle attacks.,,,A
4,multiple,使用 GLBP 有哪三項優點。,GLBP supports up to eight virtual forwarders per GLBP group.,GLBP supports clear text and MD5 password authentication between GLBP group members.,GLBP is an open source standardized protocol that can be used with multiple vendors.,GLBP supports up to 1024 virtual routers.,GLBP can load share traffic across a maximum of four routers.,GLBP elects two AVGs and two standby AVGs for redundancy.,"B,D,E"
5,multiple,下列哪三個選項是有關於 HSRP 的運作是正確的。,The virtual IP address and virtual MAC address are active on the HSRP Master router.,The HSRP default timers are a3 second hello interval and a 10 second dead interval.,HSRP supports only clear-text authentication.,The HSRP virtual IP address must be on a different subnet than the routers interfaces on the same LAN.,The HSRP virtual IP address must be same as one of the routers interface addresses on the LAN.,"HSRP supports up to 255 groups per interface, enabling an administrative from of load balancing.","A,B,F"
6,single,在 GLBP 網路中哪一個角色是負責 ARP 的請求。,AVF,Standby,AVF,Master,,,C
7,single,根據下列網路架構及輸出訊息，R1 無法與 R2 進行認證連線，請問是發生 什麼原因?,The usernames are incorrectly configured on the two routers.,The passwords do not match on the two routers,CHAP authentication cannot be used on a serial interface,The routers cannot be connected from interface S0/0 to interface S0/0,"With CHAP authentication, one router must authenticate to another router. The routers cannot be configured to authenticate to each other",,B
8,multiple,當一個訊框資料要離開 L3 的設備時，針對 L2 的封裝資訊，下列哪些會 更改?(Choose two.),The data is moving from 20BASE-TX to 100BASE-TX,The WAN encapsulation type has changed.,The data format has changed from analog to digital,The source and destination hosts are in the same subnet,The source and destination MAC addresses have changed,,"B,E"
9,multiple,WAN 在 OSI 模型運作，主要是在第幾層?,application layer,session layer,transport layer,network layer,datalink layer,physical layer,"E,F"
10,single,當要設定路由器的序列埠的介面時，下列哪一個是預設的 L2 封裝協定?,"atm-gl,dxi",frame-relay,hdlc,lapb,ppp,,C
11,multiple,下列那些選項是正確的 WAN 連線方式?,PPP,WAP,HDLC,MPLS,L2TPv3,ATM,"A,C,F"
12,multiple,根據下列網路架構，電腦在 192.168.2.0 網路不能夠連線到 192.168.3.0 網 路中的腦電，請問是下列哪些原因?(Choose two),The cable that is connected to S0/0 on RouterA is faulty,Interface s0/0 on RouterB is administratively down.,Interface s0/0 on RouterA is configured with an incorrect subnet mask.,The IP address that is configured on S0/0 of RouterB is not in the Correct subnet,Interface S0/0 on RouterA is not receiving a clock signal from the CSU/DSU,The encapsulation that is configured on S0/0 of RouterB does not match the encapsulation that is configured on S0/0 of RouterA,"E,F"
13,multiple,參考下列網路架構與輸出訊息，路由器之間的序列埠連線的網路的遮罩 為 255.255.255.252，針對 sh cdp entry 的輸出，下列敘述哪些是正確。 (Choose three.),The R1 serial address is 10.1.1.1,The R1 serial address is 10.1.1.2,The R2 router is a Cisco 2950,The R1 is a Cisco 2950,The CDP information was received on port Serial0/0 of R1,The CDP information was sent by port Serial0/0 of R2,"A,C,E"
14,single,某家公司的 WAN 連線是使用有 CHAP 認證的 PPP，下列哪一個查詢指令 可以顯示 CHAP 認證過程?,show CHAP authentication,show interface serial0,debug PPP authentication,debug CHAP authentication,show ppp authentication chap,,C
15,multiple,針對 PPP 的 Layer 2 封裝協定，有提供下列哪些功能?,VLAN support,Compression,Authentication,Sliding windows,Multilink support,Quality of service,"B,C,E"
16,single,PPP 運作在 OSI 的哪一層。,Layer 2,Layer 3,Layer 4,Layer 5,,,A
17,single,下咧哪一個指令是啟動 PPP 的 CHAP 認證並使用 PAP 為 fallback 的方 式。,Router(config-if)# ppp authentication chap fallback ppp,Router(config-if)# ppp authentication chap pap,Router(config-if)# authentication ppp chap fallback ppp,Router(config-if)# authentication ppp chap ppp,,,B
18,multiple,下列哪三個選項是描述在 WAN 的設備。,A CSU/DSU terminates a digital local loop.,A modem terminates a digital local loop.,A CSU/DSU terminates an analog local loop.,A modem terminates an analog local loop.,A router is commonly considered a DTE device.,A router is commonly considered a DCE device.,"A,D,E"
19,single,CSU/DSU 與 modem 這兩種設備的不同為何?,A CSU/DSU converts analog signals from a router to a leased line; a modem converts analog signals from a router to a leased line,A CSU/DSU converts analog signals from a router to a phone line; a modem converts digital signals from a router to a leased line,A CSU/DSU converts digital signals from a router to a phone line; a modem converts analog signals from a router to a phone line.,A CSU/DSU converts digital signals from a router to a leased line; a modem converts digital signals from a router to a phone line.,,,D
20,multiple,下列哪兩個選項有關於 PPP 中 CHAP 的認證是正確。,CHAP uses a two-way handshake.,CHAP uses a three-way handshake.,CHAP authentication periodically occurs after link establishment.,CHAP authenticationis passwords are sent in plaintext.,CHAP authenticationis performed only upon link establishment.,CHAP has no protection from playback attacks.,"B,C"
21,multiple,下列哪兩個選項是正確的 WAN 連線的封裝協定。,PPP,WAP,DSL,L2TPv3,Ethernet,,"A,C"
22,single,PPP 的模組中哪一個是協商認證。,NCP,ISDN,SLIP,LCP,DLCI,,D
23,single,當指令 Show frame-relay pvc 的輸出為”PVC STATUS=INACTIVE”，代表是甚麼意思。,"The PVC is configured correctly and is operating normally, but no data packets have been detected for more than five minutes.","The PVC is configured correctly, is operating normally, and is no longer actively seeking address of the remote router.","The PVC is configured correctly, is operating normally, and is waiting for interesting traffic trigger a call to the remote router.","The PVC is configured correctly on the local switch, but there is a problem on the remote end of the PVC.",The PVC is not configured on the local switch.,,D
24,multiple,Frame-Relay 點對點的子介面有哪兩個特徵。,They create split-horizon issues.,They require a unique subnet within a routing domain.,They emulate leased lines.,They are ideal for full-mesh topologies.,They require the use of NBMA options when using OSPF.,,"B,C"
25,single,根據上圖資訊，FR 設定出現甚麼問題。,Incorrect bandwidth configuration,Incorrect LMI configuration,Incorrect map statement,Incorrect IP address,,,C
26,single,根據上圖資訊，show frame-relay map 指令的輸出訊息中的 dynamic 代表甚麼意義。,The Serial0/0 interface is passing traffic.,The DLCI 100 was dynamically allocated by the router.,The Serial0/0 interface acquired the IP address of 172.168.3.1 form a DHCP server.,The DLCI 100 will be dynamically changed as required to adapt to changes in the Frame Relay cloud.,The mapping between DLCI 100 and the end station IP address 172.16.3.1 was learned though Inverse ARP.,,E
27,single,當輸入 frame-relay map ip 192.168.1.2 202 broadcast 指令，此指令 代表甚麼意義。,Defines the destination IP address that is used in all broadcast packets on DCLI 202,Defines the soure IP address that is used in all broadcast packets on DCLI 202,Defines the DLCI on which packets from the 192.168.1.2 IP address are received.,Defines the DLCI that is ised for all packets that are sent to the 192.168.1.2 IP address.,,,D
28,single,Inservse ARP 的目的為何。,To map a known IP address to a MAC address.,To map a known DLCI to a MAC address.,To map a known MAC address to an IP address.,To map a known DLCI to an IP address.,To map a known IP address to a SPID.,To map a known SPID to a MAC address.,D
29,single,哪一個協定是開放式架構用於 VPN 來提供通訊安全。,RSA,L2TP,IPsec,PPTP,,,C
30,single,哪一種 Frame-Relay 的封裝是 Cisco 路由器有支援。,IETF,ANSI Annex D,Q9333-A Annex A,HDLC,,,A
31,multiple,有哪三個主要原因企業要使用 VPN 來取代專線。,Reduced cost,Better thoughput,Broadband incompatibility,Increased security,Scalability,Reduces latency,"A,D,E"
32,single,下列哪一項指令可以檢查 Frame-relay 的封裝種類為 CISCO 或是 IETF。,Show frame-relay lmi,Show frame-relay map,Show frame-relay pvc,Show interfaces serial,,,B
33,single,當傳送資料量大於 CIR 時，Frame-Relay 網路會做什麼動作。,All TCP traffic is marked discard eligible.,All UDP traffic is marked discard eligible and a BECN is sent.,All TCP traffic is marked discard eligible and a BECN is sent.,All traffic excessdinng the CIR is marked discard eligible.,,,D
34,single,指令 frame-relay map ip 10.121.16.8 102 broadcast 在路由器中輸入， 請問下列哪一個選項描述有關於此指令是正確。,This command should be executed from global configuration mode.,The IP address 10.121.16.8 is the local router port used to forward data.,102 is the remote DLCI that will receive information.,This command is requied for all Frame Relay configurations.,"The broadcast option allows packets, such as RIP updates, to be forwarded across the PVC.",,E
35,single,"公司使用 Frame Relay 網路連線到子公司，網路管理員發現連線速度 變慢，在路由器執行 Router#show frame relay pvc 來查看原因，根據 下列輸出訊息，那一個資訊是用來顯示本地的路由器與子公司的 Frame Relay 網路連線發生壅塞。 PVC Statistics for interface Serial0 (Frame Relay DTE) Active Inactive Deleted Static Local 1 0 0 0 Switched 0 0 0 0 Unused 0 0 0 0 DLCI = 100,DLCIUSAGE=LOCAL, PVC STATUS=ACTIVE, INTERFAC=Serial0 input pkts 1300 output pkts 1270 in bytes 22121000 out bytes 21802000 dropped pkts 4 in FECN pkts 147 in BECN pkts 192 out FECN pkts 259 out BECN pkts 214 in DE pkts 0 out DE pkts 0 out bcast pkts 107 out bcast bytes 19722 pvc create time 00:25:50,last time pvc status changed 00:25:40",DLCI=100K bytes,Last time PVC status changed 00:25:40,in BECN packets 192,in FECN packets 147,in DF packets 0,,C
36,multiple,針對 WAN 的網路，下列那些 L2 協定可用於 WAN，而不適用於 LAN。(Choose three.),HDLC,Ethernet,Token Ring,PPP,FDDI,Frame Relay,"A,D,F"
37,single,"參考下列輸出訊息，路由器使用那一個 WAN 協定? Router#show interfaces pos8/0/0 pos8/0/0 is up, line protocol is up Hardware is packet over Sonnet keepalive set(10 sec) Scramble disabled LMI enq sent 7, LMI stat recvd 7, LMI upd recvd 0, DTE LMI up LMI enq recvd 0, LMI stat sent 0, LMI upd sent 0 LMI DLCI 1023 LMI type is CISCO frame relay DTE ……………………..",ATM,HDLC,Frame Relay,PPP,,,C
38,single,當 Frame Relay 網路中的 CIR 超過上限時，會發生什麼事件?,All TCP traffic is marked discard eligible,ALL UDP traffic is marked discard eligible and a BECN is sent,ALL TCP traffic is marked discard eligible and a BECN is sent,All traffic exceeding the CIR is marked discard eligible,,,D
39,multiple,針對 Frame-Relay 點對點的子介面，下列那些敘述是正確?,They create split-horizon issues,They require a unique subnet within a routing domain.,They emulate leased lines,They are ideal for full-mesh topologies,They require the use of NBMA options when using OSPF,,"B,C"
40,single,當 路 由 器 執 行 show frame-relay pvc 後 ， 其 輸 出 訊 息 中 有 『 PVC STATUS=INACTIVE』，該訊息表示什麼意思?,"The PVC is configured correctly and is operating normally, but no data packets have been detected for more than five minutes","The PVC is configured correctly, is operating normally, and is not loger actively seeking the address the remote route","The PVC is configured correctly, is operating normally, and is waiting for interesting to trigger a call to the remote router","The PVC is configured correctly on the local switch, but there is a problem on the remote end of the PVC",The PVC is not configured on the switch,,D
41,single,根據下列 hub-and-spoke 的 Frame-Relay 網路架構，網路管理員將 R1 的 S0/0 設定為 multipoint 子介面與 R2 及 R3 連線，網管人員發現電腦 在 172.16.1.0/24 可以跟 172.16.2.0/25 與 172.16.2.128/25 的電腦可以互 通，但是電腦在 172.16.2.0/25 與 172.16.2.128/25 兩個網路中無法互 通，請問事發生什麼連線的問題。,The ip subnet=zero command has been issued on the R1 router,The RIP v2 dynamic routing protocol cannot be used across a Frame Relay network,Split horizon is preventing R2 from learning about the R3 networks and R3 from learning about the R2 networks,"The 172.16.2.0/25 and 172.16.2.128/25 networks are overlapping networks that can be seen by R1, but not between R2 and R3",The 172.16.3.0/29 network used on the Frame Relay links is creating a discontinuous network between the R2 and R3 router subnetworks,,C
42,single,根據下列輸出訊息，路由器的序列埠正在設定 Frame Relay 網路，但 是路由器無法執行 Frame Relay 指令，請問什麼原因? Router(config)#interface serial 0/0 Router(config-if)#frame-relay lmi-type cisco ^ %Unrecognized command Router(config-if)#frame-relay? % Unrecognized command,The interface does not support Frame Relay connections,The interface does not have an IP address assigned to it yet,The interface requires that the no shutdown command be configured first,The interface requires that the encapsulation Frame-relay command be configured first,,,D
43,single,"參考下列 show frame-relay map 輸出訊息，其中 dynamic 代表什麼含 意? R1#show frame-relay map Serial0/0(up) ip 172.16.3.1 dlci 100(0x64, 0x1840), dynamic, broadcast, status defined, active",The Serial0/0 interface is passing traffic,The DLCI 100 was dynamically allocated by the router,The Serial0/0 interface acquired the IP address of 172.16.3.1 from a DHCP server,The DLCI 100 will be dynamically changed as required to adapt to changes in the Frame Relay cloud,The mapping between DLCI 100 and the end station IP address 172.16.3.1 was learned through inverse ARP,,E
44,single,在使用 Frame Relay 網路時，如何避免水平分割(split horizon)來影響 路由更新?,Configure a separate sub-interface for each PVC with a unique DLCI and subnet assigned to the sub-interface,Configure each Frame Relay circuit as a point-to-point link to support multicast and broadcast traffic,Configure many sub-interfaces on the same subnet,Configure a single sub-interface to establish multiple PVC connections to multiple remote router interfaces,,,A
45,single,預設的 Frame Relay 網路為甚麼型態網路架構?,Point-to-point,Broadcast multi-access,Nonbroadcast multi-access,Nonbroadcast multipoint,Broadcast point-to-multipoint,,C
46,single,針對路由器執行 frame-relay map ip 10.121.16.8 102 broadcast 指令後， 下列那些敘述為正確?,This command should be executed from the global configuration mode,The IP address 10.121.16.8 is the local router port used to forward data,102 is the remote DLCI that will receive the information,This command is required for all Frame Relay configurations,"The broadcast option allos packets, such as RIP updates, to be forwarded across the PVC",,E
47,single,"根據下圖網路架構及設定指令，Frame-Relay 網路不能正常運作，其 原因為何? R1#show frame-relay map Serial3(up): ip 172.31.31.126 dlci 205 (0xCD,0x30DD), static, broadcast, CISCO, status defined, active R2#show frame-relay map Serial3(up): ip 172.31.31.126 dlci 605 (0x25D,0x94D0), static, broadcast, CISCO, status defined, active R3#show frame-relay map Serial3(up): ip 172.31.31.62 dlci 509 (0x1FD,0x7CD0), static, broadcast, CISCO, status defined, deleted Serial3(up): ip 172.31.31.14 dlci 502 (0x1F6,0x7C60), static, broadcast, CISCO, status defined, active",R1 has the wrong LMI type configured,Inverse ARP is providing the wrong PVC information to R1,The S3 interface of R2 has been configured with the frame-relay encapsulation ietf command,The frame-relay map statement in R3 router for the PVC to R2 is not correct,The IP address on the serial interface of R3 router is configured incorrectly,,D
48,single,根據下列網路架構，針對 DLCI 17，下列哪一項敘述為正確?,DLCI 17 describes the ISDN circuit between R2 and R3,DLCI 17 describes a PVC on R2. It cannot be used on R3 or R1,DLCI 17 is the Layer 2 address used by R2 to describe a PVC to R3,DLCI 17 describes the dial-up circuit from R2 and R3 to the service provider,,,C
49,single,根據上圖的四個 ACL 敘述啟動在 E0 介面的 IN 方向，請問要什麼樣 的順序才能讓 172.21.1.128/28 網路中的第一個與最後一個主機 IP 的 流量通過，其它 172.21.1.128/28 全部阻擋。,ACDB,BADC,DBAC,CDBA,,,D
50,single,下列哪一個選項針對 ACL 啟動在網路介面的描述是正確。,You can place as many access lists as you want on any interface.,You can apply only one access list on any interface.,"You can configure one access list, per direction, per Layer 3 protocol.",You can apply multiple access lists with the same protocol or in different directions.,,,C
51,single,下列哪一個選項是標準 ACL 判斷的根據。,Destination address and wildcard mask,Destination address and subnet mask,Source address and subnet mask,Source address and wildcard mask,,,D
52,multiple,如何保護路由器的 virtual terminal interface。,Administratively shut down the interface.,Physically secure the interface.,Create an access list and apply it to the virtual terminal interfaces with the access-group command.,Configure a vitual terminal password and login process.,Enter an access list anf apply it to the virtual terminal interfaces using the access-class command.,,"D,E"
53,single,根據上圖資訊，如何將 ACL102 從網路介面移除。,No ip access-class 102 in,No ip access-class 102 out,No ip access-group 102 in,No ip access-group 102 out,No ip access list 102 in,,D
54,multiple,網路管理者要設計 ACL 只允許 192.168.146.0、192.168.147.0、 192.168.148.0 及 192.168.149.0 四個網路的流量通過，下列哪兩個 ACL 的組合可以達到此需求。,Access-list 10 premit ip 192.168.146.0. 0.0.1.255,Access-list 10 premit ip 192.168.147.0 0.0.255.255,Access-list 10 premit ip 192.168.148.0 0.0.1.255,Access-list 10 premit ip 192.168.149.0 0.0.255.255,Access-list 10 permit ip 192.168.146.0 0.0.0.255,Access-list 10 premit ip 192.168.146.0 255.255.255.0,"A,C"
55,single,下列哪一個選項是標準的 ACL 語法。,Access-list 110 premit ip any any,Access-list 50 deny 192.168.1.1 0.0.0.255,Access list 101 deny tcp any host 192.168.1.1,Access-list 2500 deny tcp any host 192.168.1.1 eq 22,,,B
56,single,下列那一個指定可以顯示 ACL 設定於介面上?,show ip interface[interface] access-lists,show ip access-lists interface[interface],show ip interface[interface],show ip access-lists[interface],,,C
57,multiple,用什麼方式可以達到安全的 virtual terminal interfaces 連線到路由器? (Choose two.),Administrabvely shut down the interface,Physical secure the interface,Create an access list and apply to the terminal interface with the access-group command,configure a virtual terminal password,Enter an access list and apply it to the virtual terminal interlaces using the access-class command,,"D,E"
58,multiple,"一個 inbound 的 ACL 已經被設定於序列不中來拒絕封包屬於 TCP and UDP ports 21,23 and 25，請問下列那些封包可以通過該 ACL (Choose three.)",FTP,Telnet,SMTP,DNS,HTTP,POP3,"D,E,F"
59,single,根據下列 show access-list 輸出資訊，當有一個來自網際網路的 HTTP 封包要送往目的 172.16.12.10 時，該 ACL 會如何處理? router#show access-list Extended IP access list 110 10 deny tcp 172.16.0.0 0.0.255.255 any eq telnet 20 deny tcp 172.16.0.0 0.0.255.255 any eq smtp 30 deny tcp 172.16.0.0 0.0.255.255 any eq http 40 permit tcp 172.16.0.0 0.0.255.255 any,Traffic will be dropped per line 30 of the ACL,Traffic will be accepted per line 40 of the ACL,"Traffic will be dropped, because of the implicit deny all at the end of the ACL","Traffic will be accepted, because the source address is not covered by the ACL",,,C
60,single,當路由器設定 inbound ACL，甚麼時候 inbound ACL 會處理收到的封 包?,Before they are routed to an outbound interface,After they are routed to an outbound interface,Before and after they are routed to an outbound interface,After they are routed to an outbound interface but before being placed in the outbound queue,,,A
61,single,網路管理員在路由器 RA 中設定如下時，主要是甚麼目的? RA(config)#access-list 2 permit 10.1.1.0 0.0.0.255 RA(config)#line vty 0 4 RA(config)#access-class 2 in,To give students access to the Internet,To prevent students from accessing the command prompt RA,To prevent administrators from accessing the console of RA,To give administrators access to the Internet,To prevent students from accessing the Internet,To prevent students from accessing the Admin network,B
62,single,在 172.16.5.118/26 網路中的所有電腦不能使用 telnet 連到 LAN 外 面，下列哪一個 ACL 指令可以達到此需求。,access-list 128 deny tcp 172.16.5.64 0.0.0.63 any eq 23,access-list 128 deny tcp 172.16.5.128 0.0.0.63 any eq 22,access-list 10 deny tcp 172.16.5.64 0.0.0.63 any eq 23,access-list 128 deny tcp host 171.16.5.118 any eq 23,,,A
63,single,當網路管理員已經設計一個 ACL 標號為 100，請問要用那一個指令 讓該 ACL 在介面上執行?,apply access-list 101 out,ip access-group 101 out,access-class 101 out,permit access-list 101 out,,,B
