id,chapter,question_number,question,answer,option_A,option_B,option_C,option_D,option_E,option_F
59,Ch10,17,"[Ch10] 參考下列網路架構中，網管人員觀察到一個問題的現象如下，
All of the user hosts can access the Internet
None of the user hosts can access the server located in VLAN9
All of the hosts can ping each other
請問造成什麼問題?",E,S2 is turned off,Interface S0/0 on R1 is down,Interface Fa1/0 on R1 is down,Interface Fa0/5 on S3 is down,Interface Fa0/4 on S3 is down,Trunking is not enabled on the link between S1 and S3
60,Ch10,18,[Ch10] 那兩種連線的協定是用來攜帶多個Vlan的資料。,"B,D",VTP,802.1q,IGP,ISL,802.3u,
61,Ch10,19,[Ch10] 公司內有一台交換器的所有的連接埠都設定為full duplex並指定到Vlan2，如果將交換器建立新的Vlan並將連接埠指定到新的Vlan，下列那一個敘述為正確。,D,A. More collision domains will be created,B. IP address utilization will be more efficient,C. More bandwidth will be required than was needed previously,D. An additional broadcast domain will be created,,
62,Ch10,20,[Ch10] 針對Vlan來規劃網路，下列哪些敘述是正確。,"B,D",VLANs increase the size of collision domain,VLANs allow logical grouping of users by function,VLANs simplify switch administration,VLANs enhance network security,,
63,Ch10,21,[Ch10] 在一家公司的網路中，主機在相同Vlan可以互相傳送資料，但是主機在不同Vlan中卻無法傳送資料，需要什麼設定才能解決此問題。,A,a router with subinterfaces configured on the physical interface that is connected to the switch,a router with an IP address on the physical interface connected to the switch,a switch with an access link that is configured between the switches,a switch with a trunk link that is configured between the switches,,
64,Ch10,22,[Ch10] 下列為交換器S1的show int fa0/24 switchport的輸出訊息，在S1的fa0/24要設定為IEEE 802.1Q-compliant trunk與其它交換器做連線，但是Trunk連線一直無法成功，網路線確認是正常，根據下列輸出訊息，請問是那部份設定錯誤。,C,VLANs have not been created yet,An IP address must be configured for the port,The port is currently configured for access mode,The correct encapsulation type has not been configured,The no shutdown command has not been entered for the port,
65,Ch10,23,[Ch10] 參考下列網路架構中，兩台交換器中的Vlan10之間無法互通，另外Vlan15之間也無法互通，只有Admin Vlan之間可以互相傳送資料，兩台交換器的連接埠的Vlan分配都是一樣，根據下列show vlan brief的輸出訊息中，請問有什麼問題嗎。,B,The fa0/1 port is not operational on one of the switches,The link connecting the switches has not been configured as a trunk,At least one port needs to be configured in VLAN 1 for VLANs 10 and 15 to be able to communicate,Port FastEthernet 0/1 needs to be configured as an access link on both switches,A router is required for hosts on SW11 in VLANs 10 and 15 to communicate with hosts in the same VLAN on Sw12,
66,Ch10,24,[Ch10] 參考下列網路架構中，網路管理員需要增加一個新Vlan3，但是在路由器上已經沒有多餘的網路介面可以給Vlan3使用，請問使用哪種技術可以解決此問題。,D,Purchase a new FastEthernet module and install it on R1,ReplaceR1 with a new router that has at least three FastEthernet interface,Configure a second switch to support VLAN3 with a VALN trunk between SW1 and the new switch,Configure a single VLAN trunk between R1 and configure a subinterface on the R1 interface for each VLAN,Connect another router to a serial interface of R1. Use a FastEthernet interface on the new router for VLAN3,
67,Ch10,25,[Ch10] 參考下列網路架構中，有關於Vlan之間的繞送，下列哪些敘述是正確?(choose two.),"D,F",Host E and host F use the same IP gateway address,Router1 and Switch2 should be connected via a crossover cable,Router1 will not play a role in communications between host A and host D,The FastEthernt 0/0 interface on Router1 must be configured with subinterfaces,Router1 needs more LAN interfaces to accommodate the VLANs that are shown in the exhibit,The FastEthernet 0/0 interface on Router1 and Switch2 trunk ports must be configured using the same encapsulation type
68,Ch10,26,[Ch10] 參考下圖網路架構中，網路管理員要在交換器S1上增加主機A與B，針對這兩台的相關IP位址設定，下列何者正確?(Choose three),"A,C,F",host A ip address: 192.168.1.79,host A IP address: 192.168.1.64,host A default gateway: 192.168.1.78,host B IP address: 192.168.1.128,host B default gateway: 192.168.1.129,host B IP address: 192.168.1.190
69,Ch10,27,[Ch10] 根據下圖網路架構與部分訊息，目前該網路有不通的情況，請問是下列哪些問題?(Choose two.),"B,D",Configure the gateway on Host A as 10.1.1.1,Configure the gateway on Host B as 10.1.2.254,Configure the IP address of Host A as 10.1.2.2,Configure the IP address of Host B as 10.1.2.2,Configure the masks on both hosts to be 255.255.255.224,Configure the masks on both hosts to be 255.255.255.240
70,Ch10,28,[Ch10] 參考下列網路架構，路由器R1已經設定提供Vlan之間的路由功能，針對交換器的fa0/1連線到路由器，必須使用下列那些IOS指令來設定IEEE標準的協定?(Choose three.),"A,C,F",Switch(config)#interface fastethernet 0/1,Switch(config-if)#switchport mode access,Switch(config-if)#switchport mode trunk,Switch(config-if)#switchport access vlan 1,Switch(config-if)#switchport trunk encapsulation isl,Switch(config-if)#switchport trunk encapsulation dot1q
71,Ch10,29,[Ch10] 根據下圖網路架構與主機數目需求，所有主機都必須互相聯通，關於IP位址下列那些是正確?(choose three.),"B,C,F",The subnet mask in Vlan 1 is 255.255.255.192,The subnet mask in Vlan2 is 255.255.255.128,The IP address 172.16.1.25 can be assigned to hosts in VLAN1,The IP address 172.16.1.205 can be assigned to hosts in VLAN1,The LAN interface of the router is configured with one IP address,The LAN interface of the router is configured with multiple IP addresses
72,Ch10,30,[Ch10] 根據下列網路架構與部分訊息，如果要讓所有電腦裝置都能互通，在交換器的fa0/1需要什麼設定?,B,The ports only need to be connected by a crossover cable,"SwitchX(config)#interface fastethernet0/1
SwitchX(config-if)#switchport mode trunk","SwitchX(config)#interface fastethernet 0/1
SwitchX(config-if)#switchport mode access
SwitchX(config-if)#switchport access vlan 1","SwitchX(config)#interface fastethernet 0/1
SwitchX(config-if)#switchport mode trunk
SwitchX(config-if)#switchport trunk vlan 1
SwitchX(config-if)#switchport trunk vlan 10
SwitchX(config-if)#switchport trunk vlan 20",,
73,Ch11,1,[Ch11] 在什麼樣的交換器的網路環境之下，電腦會收到多個相同的單播封包。,D,During high traffic periods,After broken links are re-established,When upper-layer protocols require high reliability,In an improperly implemented redundant topology,When a dual ring topology is in use,
74,Ch11,2,[Ch11] 下列哪兩個正確的陳述是有關於RSTP。,"B,E",RSTP cannot operate with PVST+.,RSTP defines new port roles.,RSTP defines no new port states.,RSTP is a proprietary implementation of IEEE 802.1D STP.,RSTP is compatible with the original IEEE 802.1D STP.,
75,Ch11,3,[Ch11] 下列哪一項是PVST+的優點。,C,PVST+ supports Layer 3 load balancing without loops.,PVST+ reduces the CPU cycles for all the switches in the network.,PVST+ allows the root switch location to be optimized per VLAN.,"PVST+ automatically selects the root bridge location, to provide optimized bandwidth usage.",,
76,Ch11,4,[Ch11] 根據上圖架構，RSTP會在Access Layer中交換器的哪一個port設定為discard role,C,"Switch3, port fa0/1","Switch3, port fa0/12","Switch4, port fa0/11","Switch4, port fa0/2","Switch3, port Gi0/1","Switch3, port Gi0/2"
77,Ch11,5,[Ch11] 網路管理員需要在交換器中設定port-security功能，下列哪兩項是正確。,"C,D",The network admoinistrator can apply port security to EtherChannels.,"When dynamic MAC address learning is enabled on an interface, the switch can learn new addresses, up to the maximum defined.",The sticky learning feature allows the addition of dynamically learn addresses to the running configuration.,The network administrator can configure static secure or sticky secure MAC addresses in the voice VLAN.,,
78,Ch11,6,[Ch11] 下列哪一項功能會自動關閉port，當PortFastf啟動後又收到BPDU封包。,D,BackboneFast,uplinkFast,Root Guard,BPDU Guard,BPDU Filter,
79,Ch11,7,[Ch11] 當RSTP收斂後，會有哪兩種Port的狀態。,"A,D",discarding,listening,learning,forwarding,disabled,
80,Ch11,8,[Ch11] 下列哪一個選項主要是STP用來選擇RP。,A,Path cost,Lowest port MAC address,VTP revision number,Port prionity number and MAC address,,
81,Ch11,9,[Ch11] 根據上圖資訊，哪一台交換器會被選為Root-Bridge，為甚麼？,E,"Switch A, because it has the lowest MAC address","Switch A, because it is the most certrally located switch","Switch B, because it has the highest MAC address","Switch C, because it is the most centrally located switch","Switch C, because it has the lowest priority","Switch D, because it has the highest priority"
82,Ch11,10,[Ch11] 下列哪三個選項有關於RSTP是正確。,"A,B,D",RSTP significantly reduces topology reconverging time after a link failure.,RSTP expands the STP port roles by adding the alternate and backup roles.,"RSTP port states are blocking, discarding, learning, or forwarding.",RSTP provides a faster transition to the forwarding state on point-to-point links than STP does.,RSTP also uses the STP protocol-agreement sequence.,RSTP uses the same timer-based process as STP on point-to-point links.
83,Ch11,11,[Ch11] 參考下列show vtp status的部份輸出，在SwitchB加入到現有的網路後，Vlan開始發生連線不通問題，下列那一個原因造成此問題。,B,Both switches are in server mode in the same domain,The revision number of SwitchB was higher than the revision number of SwitchA,SwitchA was not rebooted prior to adding SwitchB to the network,V2-mode is not enabled,"VTP pruning is not activated, so the new paths in the network have not been recalculated",
84,Ch11,12,[Ch11] 根據下圖網路架構及show vtp status部份輸出，當交換器開機完成後，下列那些敘述是正確。,B,Only the default VLANs are configured on SwitchA,SwitchA does not have a VTP domain name configured,VTP pruning needs to be enabled on SwitchA,SwitchC needs to have the VTP domain name configured,SwitchB is in transparent mode,
85,Ch11,13,[Ch11] 參考下圖網路架構及部份輸出，公司使用兩台交換器來連接兩個地方，兩台交換器中有兩個Vlan，但不需要做Vlan之間的路由，目前整個網路是連通，公司需要新增一個Vlan，規劃要用VTP來執行，兩台交換器都已經設定為VTP Server模式並且在同一個VTP Domain，但是新的Vlan在switch1加入後，switch2並沒有收到新的Vlan，請問是什麼原因。,E,Switch2 should be configured as a VTP client,VTP is Cisco proprietary and requires a different trunking encapsulation,A router is required to route VTP advertisements between the switches,"STP has blocked one of the links between the switches, limiting connectivity",The links between the switches are access links,
86,Ch11,14,[Ch11] 交換器的所有連接埠預設都屬於Vlan1，為了避免沒有授權的管理連線，管理者應該做下列哪些建議事項?(Choose two),"B,F",Create an additional ACL to block the access to VLAN 1,Move the management VLAN to something other than default,Move all ports to another VLAN and deactivate the default VLAN,Limit the access in the switch using port security configuration,Use static VLAN in trunks and access ports to restrict connections,Shutdown all unused ports in the Catalyst switch
87,Ch11,15,[Ch11] VTP在什麼模式下，會接收VTP更新資訊並轉送出去，但不會根據VTP更新資訊來修改本身的Vlan?,D,server,client,tunnel,transparent,,
88,Ch11,16,[Ch11] 為了設定VLAN trunking protocol來更新兩台交換器的Vlan的資訊，必須符合下列哪些需求?(Choose two.),"B,D",Each end of the trunk line must be set to IEEE 802.1E encapsulation,The VTP management domain name of both switches must be set the same,All ports on both the switches must be set as access ports,One of the two switches must be configured as a VTP server,A rollover cable is required to connect the two switchestogether,A router must be used to forward VTP traffic between VLANs
89,Ch11,17,[Ch11] 下列那些敘述是描述VLAN Trunking Protocol 的好處?(Choose two.),"D,E",VTP allows routing between VLANs,VTP allows a single switch port to carry information to more than one VLAN,VTP allows physically redundant links while preventing switching loops,VTP simplifies switch administration by allowing switches to automatically share VLAN configuration information,VTP helps to limit configuration errors by keeping VLAN naming consistent across the VTP domain,VTP enhances security by preventing unauthorized hosts from connecting to the VTP domain
90,Ch11,18,[Ch11] 當管理者在交換器執行vtp mode client 指令，請問會有什麼結果?,"B,C",The switch will ignore VTP summary advertisements,The switch will forward VTP summary advertisements,The switch will process VTP summary advertisements,The switch will originate VTP summary advertisements,"The switch will create, modify and delete VLANs for the entire VTP domain",
91,Ch11,19,[Ch11] 一位網路管理者在交換器增加Vlan50，但卻失敗，管理者使用show vtp status來查詢問題所在，根據下列輸出訊息，管理者應該輸入下列哪些指令來修正?(Choose two.),"B,E",Switch(config-if)#switchport access vlan 50,Switch(vlan)#vtp mode server,Switch(config)#config-revision 20,Switch(config)#vlan 50 name Tech,Switch(vlan)#vlan 50,Switch(vlan)#switchport trunk vlan 50
92,Ch11,20,[Ch11] 當下列指令執行後，下列哪些敘述是正確。,B,A dynamically learned MAC address is saved in the startup-configuration file,A dynamically learned MAC address is saved in the running-configuration file,A dynamically learned MAC address is saved in the VLAN database,Statically configured MAC addresses are saved in the startup-configuration file if frames from that address are received,Statically configured MAC addresses are saved in the running-configuration file if frames from that address are received,
93,Ch11,21,[Ch11] 網路安全政策規定每一個交換器的port只能連接一台電腦，如果違反網路安全政策，該port立即被關閉，請問管理者必須使用什麼指令來達成網路安全政策?(Choose two.),"A,D",Switch1(config-if)# switchport port-security maximum 1,Switch1(config-if)# mac-address-table secure,Switch(config-if)# access-list 10 permit ip host,Switch1(config-if)# Switchport port-security violation shutdown,Switch1(config-if)# ip access-group 10,
94,Ch11,22,[Ch11] 網路管理員想要確保交換器的Fa0/1只能連接伺服器，管理者需要做什麼設定才能確保交換器的Fa0/1只能接伺服器。(Choose two.),"C,E",A. Configure port Fa0/1 to accept connections only from the static IP address of the server,B. Employ a proprietary connector type on Fa0/1 that is incompatible with other host connectors,C. Configure the MAC address of the server as a static entry associated with port Fa0/1,D. Bind the IP address of the server to its MAC address on the switch to prevent other hosts from spoofing the server IP address,E. Configure port security on Fa0/1 to reject traffic with a source MAC address other than that of the server,F. Configure an access list on the switch to deny server traffic from entering any port other than Fa0/1
95,Ch11,23,[Ch11] 根據下圖網路架構，在交換器中fa0/1模式下執行下列指令後，有一個訊框資料(frame)到達fa0/1，請問下列敘述那些是正確。,"B,D",The MAC address table will now have an additional entry of fa0/1 FFFF.FFFF.FFFF.FFFF,Only host A will be allowed to transmit frames on fa0/1,This frame will be discarded when it is received by 2950Switch,All frames arriving on 2950Switch with a destination of 0000.00aa.aaaa will forwarded out fa0/1,,
96,Ch11,24,[Ch11] 根據下列網路架構，在交換器執行Switch(config)#mac-address-table static 0000.00aa.aaaa vlan 10 interface fa0/1後，針對執行結果，下列哪些敘述是正確。(Choose two.),"B,E",Port security is implemented on the fa0/1 interface,MAC address 0000.00aa.aaaa does not need to be learned by this switch,Only MAC address 0000.00aa.aaaa will be forwarded out fa0/1 segment,Frames with a Layer 2 source address of 0000.00aa.aaaa will be forwarded out fa0/1,MAC address 0000.00aa.aaaa will be listed in the MAC address table for interface fa0/1 only,
97,Ch11,25,[Ch11] 參考下列網路架構與輸出訊息，網路管理員正在規劃交換器的fa0/1只能連接PC_A，如果其他電腦連接到該port，就將訊框資料丟棄，管理員已經設定好交換器的fa0/1的埠安全功能，如下列輸出訊息，請問還需要設定那些部份才能符合需求(Choose two.),"B,D",Port security needs to be globally enabled,Port security needs to be enabled on the interface,Port security needs to be configured to shut down the interface in the event of a violation,Port security needs to be configured to allow only one learned MAC address,Port security interface counters need to be cleared before using the show command,The port security configuration needs to be saved to NVRAM before it can become active
98,Ch11,26,[Ch11] 根據下列網路架構，網路管理員規劃要將Switch3為root bridge，請問要如何設定才能確保Switch3為root bridge?,C,Configure the IP address on Switch3 to be higher than the IP addresses of Switch1 and Switch2,Configure the priority value on Switch3 to be higher than the priority values of Switch 1 and Switch2,Configure the BID on Switch3 to be lower than the BIDs of Switch1 and Switch2,Configure the MAC address on Switch3 to be higher than the Switch1 and Switch2 MAC addresses,Configure a loopback interface on Switch3 with an IP address lower than any IP address on Switch1 and Switch2,
99,Ch11,27,[Ch11] 下列那兩個值是給Spanning Tree Protocol來選擇root bridge?(Choose two),"B,E",amount of RAM,bridge priority,IOS version,IP address,MAC address,Speed of the links
100,Ch11,28,[Ch11] 根據下列交換器網路架構，每個交換器的連線頻寬都一樣，下列哪一些連接埠會成為STP的designated ports 。(Choose three.),"B,C,D",Switch A – Fa0/0,Switch A – Fa0/1,Switch B – Fa0/0,Switch B – Fa0/1,Switch C – Fa 0/0,Switch C – Fa 0/1
101,Ch11,29,[Ch11] 根據下列交換器網路架構，針對RSTP的連接埠角色，下列哪些是正確。(Choose three.),"A,B,F","SwitchA, Fa0/2, designated","SwitchA, Fa0/1, root","SwitchB, Gi0/2, root","SwitchB, Gi0/1, designated","SwitchC, Fa0/2, root","SwitchD, Gi0/2, root"
102,Ch11,30,[Ch11] 在Rapid-PVST新增了那一個port state?,C,learning,listening,discarding,forwarding,,
103,Ch11,31,[Ch11] 下列那兩個協定是用來防止交換器迴圈的問題?,"A,D",802.1d,VTP,802.1q,STP,SAP,
104,Ch11,32,[Ch11] 下列那一個會被STP選為root bridge?,A,32768: 11-22-33-44-55-66,32768: 22-33-44-55-66-77,32769: 11-22-33-44-55-65,32769: 22-33-44-55-66-78,,
