id,question,option_A,option_B,option_C,option_D,answer
1,1.下列哪種路由具備容錯能力,靜態路由,動態路由,預設路由,成本最低的路由,B
2,2.網狀網路拓樸具有哪兩個特性?(請選擇 2 個答案。),最適合包含大量節點的網路。,"由於有備援連線,因此具備容錯能力。",它的佈線需求低於星形或環狀拓撲。,每個節點都連線到網路上的其他每個節點。,"A,B"
3,3.有線乙太網路拓樸具有哪兩個特性?(請選擇 2 個答案),使用權杖來避免網路發生衝突。,通常採用雙絞線或光纖媒體。,使用實體 IP 位址編碼的網路介面卡。,可以交涉不同的傳輸速度。,"B,D"
4,4.哪個實體網路拓樸藉由提供備援通訊路徑來提供容錯通訊?,網狀,星形,環狀,匯流排,A
5,5.如何更新路由器的靜態路由表?,透過網路系統管理員的直接動作,在重設路由之後透過 RIP 通訊協定,藉由監視相鄰子網路,使用實體位最相近路由器的更新,A
6,"6.哪種網路裝會讓工作群組中的電腦相互連線、夠端進行設定, 並且提供最佳的输送量?",路由器,未受管理的交換器,集線器,受管理的交換器,D
8,"8.您是小型企業的網路系統管理員 某天早晨開始工作時,您現 公司所有員工都法存取外網站但所有員工都可以存取内部網路網站所 有電腦都位於同一個内部網路,由一部路由器連接起來。 您必須疑難排 解此問。您應該完成哪兩個動作?(請選擇 2 個答案)",檢查個別電腦上是否有故障的網路介面卡。,連絡網際網路服務提供者。,檢查每部電腦是否具備有效的 IP 位址。,檢查路由器是否有良好的實體連線能力。,"B,D"
9,"9.您的學校網路具有多個路由器。其中一間宿舍的學生回報, 他們無法連線到電子郵件伺服器。您確認電子郵件伺服器運作正常。 您懷疑是子網路上的路由器造成問。此時應該執行哪兩個動作?(請選擇 2 個答案)",查看路由器的 NAT 表。,查看路由器的路由表。,啟用多點傳送。,啟用動態路由。,"B,D"
10,10.電腦是使用銅線經由網路跳線面板連接至交換器。電腦 取得的資料速度低於預期。您應該執行哪兩個動作來找出問題?(請選擇 2 個答案。)請注意:每個正確選項都將得到部分分數。,執行從單位 A 到單位 B 線路的音頻查線。,測試纜線的資料速度。,使用纜線測試器搜尋纜線中斷掉的電線,使用光時域反射計(OTDR)測試線路。,"B,D"
11,"11.您任職於某公司,公司總裁回報他的有線網路印表機無法 作。為了測試線路,您必須知道插孔插在跳線面板的什麼位置。但是沒 有任何標籤, 在主配線架構(MDF)中,您發現一束 35 條缆線。您應該使 用哪種工具來分離出正確的纜線?",音頻查線器,萬用電表,纜線測試器,時域反射計(TDR),A
12,12.需要哪種硬體才能將區域網路正確連線到廣域網路(WAN)?,收發器,第 2 層交換器,獨立存取點,路由器,D
13,"13.建築物 A 與建築物 B 之間的網路線是 550 公尺,而且線路 生插入損失。 您應該使用哪種工具來測試衰減?",時域反射計,萬用電表,光時域反射計,音頻查線器,D
14,14.哪種媒體類型最不易受外部干擾(包括電磁干擾(EMI)和射 頻干擾(RFI)影響?,STP,光纖,無線網路,UTP,B
15,15.在一個網路中併入多個 VLAN 的其中一個原因是:,可減少廣播網域的數目。,可增加可用的媒體存取控制(MAC)位址數目。,可增加可用的 IP 位址數目。,可減少廣播網域中的節點數目。,D
16,16.您必須在兩個相距約 10 公里/6 英里的地之閒安装網路 線。您應該使用哪個項目?,多重模式光纖,單一模式光纖,Cat5e,Cat6,B
17,17.________無線加密最容易遭到攔截和解密。,WEP,WPA2,WPA-AES,WPA-PSK,A
18,18.使用無線網路時必須考量安全性的原因是:,無法加密傳輸。,潛在的串音(Crosstalk)問題。,無線電廣播存取方法。,頻率調變的問題。,A
19,19.您必須在您公司的製造工廠設四段乙太網路分接。每段分 接约為 38 公尺(125 英尺)。每段分接都會經過重型造設備的附近區 域。您需要確保降低干擾程度。您應該使用哪一種纜線類型?,UTP Cat6,UTP Cat5e,Cat3,STP Cat5e,D
20,20.Teredo 通道的通訊協定可以:,可提供 VPN 安全性。,可讓 IPv6 流量通過 IPv4 網路。,"可將網際網路通訊協定第 4 版(IPv4)轉譯為網網路通訊協定第 6 版
(IPv6)。",可動態配置 IPv6 位址。,B
21,21.哪一項表示網際網路通訊協定第 6 版(IPv6)路位址?,FE80::127,::1,FF00::127,::,B
22,"22.您的家用電腦在存取網際網路時發生問題。您懷疑網網路 路由器的 DHCP 服務未正常作,因此您檢查了电腦的 IP 位址。哪一個位 址會指出路由器的 DHCP 服務無法正常運作?",172.16.1.15,192.168.1.15,169.254.1.15,10.19.1.15,C
23,23.ftp.sunsetweb.org 的頂層網域是哪個?,sunsetweb,sunsetweb.org,ftp,org,D
24,24.哪種通訊協是於 TCP 模型的傳輸層運作?,IGMP,UDP,FTP,IP,B
25,25.您公司的電腦透過一組位在單一地理位的路由私人 Wi-Fi 網路來交換資料。這是哪種類型網路的範例?,網際網路,外部網路,周邊網路,內部網路,D
26,"26.您使用完整網域名稱(FQDN)Ping,但没有收到。您接著使用 其 IP 位址來 Ping 相同的伺服器,並收到回應。為什麼第二次嘗試收到 回應,但第一次沒有?",NSLOOKUP 已停止,DNS 無法解析,DHCP 伺服器已離線,PING 設定不正確,B
27,"27.您正在設定網路電腦遊戲。您需要開啟防火牆的連接埠,讓 您的朋友可以加入網路。哪一個命令會顯示電腦正在接聽的連接埠?",netstat,ping,nslookup,nbtstat,A
28,28.Linux 中用來列出主機使用中連入連線的命令列工具是 __________,ip addr,host,netstat,dig,C
29,"29.在 windows 電腦,您應該使用哪個公用程式判斷網域名稱 系統(DNS)伺服器是否将完整網域名稱(FQDN)正確解析為 IP 位址?",nslookup,nbtstat,netstat,ipconfig,C
30,30.周邊網路的主要用途是什麼?,做為用來部署網路用戶端的隱藏位置,在私人內部網路與公用網際網路之間提供緩衝區,做為用來部署高度敏感性網路伺服器的安全位置,在私人區域網路中監控路由子網路之間的流量,B
31,31.VLAN 具有哪兩個特性?(請選擇 2 個答案。),VLAN 會劃分網路並分離流量。,單一交換器只能服務單一 VLAN.,"不論 VLAN 的實體位在哪裡,它們都會表現得像在相同的區域網路上
一樣。",VLAN 可以使用 IP 進行封包的邏輯定。,"A,C"
32,32.____________無線加密最容易遭到攔截和解密。,WEP,WPA2,WPA-AES,WPA-PSK,A
33,33.CompanyPro 計將數部伺服器移轉到雲端架構的虛擬機 器。您必須指出在計畫的移轉後將會減少哪些系統管理責任。哪兩種 責任將會減少?(請選擇 2 個答案。)請注意:每個正確選項都將得到部分 分數。,更換故障的伺服器硬體,更新伺服器作業系統,管理實體伺服器安全性,"備份應用程式資料
E. 管理共用文件的權限","A,C"
34,34.使用 STP 而不用 UTP 線網擴充線路的理是什麼?,您想要盡量降低與新安裝相關的成本。,您需要盡可能輕便柔韌的線。,您需要縮訊衰減。,您正在佈線穿越外部干擾很高的區域。,D
35,"35.您任職於某公司,財務部門抱怨說存取公司網路時資料速度 很慢。該部的其中一部電腦顯示線只有 100Mbps,但該線路應該是 1000Mbps。您應該使用哪個網路硬體工具來判斷纜線能否達到 1000Mbps 全工?",音頻查線器,纜線測試器,萬用電表,時域反射計(TDR),B
37,37.哪種類型的網路涵蓋最大的區域?,WAN,CAN,PAN,LAN,A
38,38.哪一種無線驗證方法提供最高等級的安全性?,WPS 驗證,有線等效加密(WEP),Wi-Fi 保護的存取(WPA),Wi-Fi 保護的存取 2(WPA2),D
39,39.Ping 公用程式用於哪兩個目的?請選擇 2 個答案。,自行測試主機本身的網路介面,搜尋重複的位址,將主機名解析為 IP 位址,"判斷是否可連線至主機
E. 掃描開放的主機防火牆連接埠","A,D"
40,40.交換器具有哪兩個特性?(請選擇 2 個答案。),交換器可識別所接收資料的預訂目的地。,交換器可以同時傳送和接收資料。,交換器成的資料衝突比集線器更多。,交換器會將每個框架傳送至所有與連接的電腦。,"A,B"
41,"41.您可以使用哪一種技術將內部網路延伸,跨到共用或公用網 路?",Microsoft ASP.NET,VPN,VLAN,Microsoft .NET Framework,B
42,42.實作 VPN 可以提供:,透過公用網路的安全連線。,使用 IPSec 的額外加密。,私人網路內的安全連線。,選取電腦的額外安全性。,A
43,43.動態路由的其中一個優點是:,會自動啟用 DHCP。,會限制衍生自路由通訊協定的流量。,會減少廣播流量。,會自動維護路由表。,D
44,"44.您必須將路由器設定為啟用具有私人 IPv4 位址的部用戶 端,以便存取網際網路並瀏覽多個網站。您應該設定什麼?",DHCP,NAT,WAP,VPN,D
45,45.SNMP Ping 公用程式使用 ______通訊協定來測試與遠端主機 的通訊,BOOTP,HTTP,ICMP,OSPF,C
46,46.下列哪個項目會使用通道通訊協定來封裝傳輸資料?,NAT,VLAN,網際網路,VPN,D
47,47.哪種服務會使用 PTRA 記錄?,NAT,DNS,IPS,IDS,B
48,48.VPN 是什麼?,您的區域網路(LAN)內的虚擬網路,多個 VLAN 之間的通訊通道,僅供您自己使用的私人網路,透過公用網路的安全私人連線,D
49,"49.當 DHCP 發給戶端位址到期時,該用戶端將會:",與網路中斷連線,"繼續使用該位址,直到被告知停止",嘗試更新其對該位址的租用,"產生對子網路有效的新位址,並要求 DHCP 伺服器核准",A
50,50.網際網路是根據哪一個網路拓樸所設計?,環狀,匯流排,網狀,星形,C
51,"51.除了交換功能之外,還有哪個是多層交換器專屬的功能?",管理用戶端電腦的位址,橋接不實體拓樸之間的流量,提供 No. 3 層路由功能,在各網路通訊協之間轉譯,C
52,52.交換器只會將單點傳播框架傳送至一個目的地連接埠,正確,"不正確

53. ( A ) 53.如果交換器不知道框架的傳送目標,會導致它發框架至各接
埠
A. 正確
B. 不正確

54. ( B ) 54.交換器只會將廣播框架傳送至上行接埠
A. 正確
B. 不正確

55. ( B ) 55.在無線路由器上,SSID 是____________
A. 預設系統管理員帳戶
B. 廣播識别碼",廣域網路(WAN)加密通訊協定,預設通訊協定,A
56,"56.您正在嘗試存取網際網路上的音樂分享服此服務位於 IP 位 址 173.194.75.105 您在連線發生問題。您對伺服器執行追蹤路由,收到 下圖所示的輸出。追蹤路由中的每個躍點都是:",路由器,交換器,"防火牆

56. ( A ) 56.(接續上題)。追蹤路由
A. 已順利完成
B. 未順利完成
C. 已完成但狀態不明

57. ( B ) 57.非連線式的訊息架構通訊協定,提供盡力而為的服務-
A. TCP

B. UDP
C. ARP
58. ( A ) 58.連線導向的通訊協定,提供保證的服務
A. TCP
B. UDP
C. ARP

59. ( C ) 59.將 MAC 位址解析為 P 位址
A. TCP
B. UDP
C. ARP

60. ( A ) 60.IoT 裝置有 IP 位址
A. 正確
B. 錯誤

61. ( B ) 61.IoT 裝需要與人互動才能與網路通訊
A. 正確
B. 錯誤

62. ( A ) 62.可利用應用程式開啟的智慧型恆溫器和燈泡,是屬於 IoT 範
例
A. 正確
B. 錯誤

63. ( D ) 63.IPv4 多點傳送位址的範圍是從______________
A. 127.0.0.0 到 127.255.255.255
B. 172.16.0.0 到 172.31.255.255
C. 192.168.0.0192.168.255.255",224.0.0.0 到 239.255.255.255,A
64,64.網路位址: 127.0.0.0-127.255.255.255 是,迴路位址,多點傳送位址,私人網路位址,公用網路位址,A
65,65.網路位址: 192.168.0.0-192.168.255.255 是,迴路位址,多點傳送位址,私人網路位址,公用網路位址,C
66,66.網路位址: 224.0.0.0-239.255.255.255 是,迴路位址,多點傳送位址,私人網路位址,公用網路位址,B
67,67.每個 IPv4 位址包含 ___________,網路識别碼和主機識别碼,DNS 記錄和預設路由,分成八位元資料組的 64 位元二進位數字,MAC 位址和資料連結層位址,A
68,68.哪個是類別 A IP 位址:,133.234.23.2,224.100.20.3,201.111.22.3,64.123.12.1,D
69,69.哪個是類別 B IP 位址:,133.234.23.3,224.100.20.4,201.111.22.4,64.123.12.2,A
70,70.哪個是類別 C IP 位址:,133.234.23.4,224.100.20.5,201.111.22.5,64.123.12.3,C
71,71.哪個是類別 D IP 位址:,133.234.23.5,224.100.20.6,201.111.22.6,64.123.12.4,B
72,72.將全世界許多小型電腦網路連結起來的龐大電腦網路是-,網際網路,內部網路,"外部網路

73. ( C ) 73.讓公司與供應商或合作夥伴之間能夠安全共同作業的網路-
A. 網際網路

B. 內部網路
C. 外部網路

74. ( B ) 74.只有公司員工能夠存取的私人網路是-
A. 網際網路

B. 內部網路
C. 外部網路

75. ( A ) 75.主從網路有集中化管理
A. 正確
B. 錯誤

76. ( A ) 76.主從網路要求每部電腦必須共用其資源
A. 正確
B. 錯誤

77. ( B ) 77.主從網路要求使用者在他們必須使用的每部電腦上都必須
具有使用者帳戶
A. 正確
B. 錯誤
78. ( A ) 78.網際網路是廣域網路(WAN)
A. 正確
B. 錯誤

79. ( A ) 79.內部網路是廣域網路(WAN)
A. 正確
B. 錯誤

80. ( B ) 80.在多個城市都設有辦公室的公司利用廣域網路(WAN)共用
資料
A. 正確
B. 錯誤

81. ( C ) 81.您正在協助朋友設定家庭辦公室的公眾對應網頁伺服器。
您的朋友想要保護內部網路,以免遭到入侵。請問您該怎麼做?
A. 將網頁伺服器的 IP 位址設定為區域網路的内部位址。
B. 將防火牆設定為封鎖連接埠 80 和 443 的存取。
C. 將網頁伺服器部署在 DMZ 中",將網頁伺服設定為封鎖連接埠 80 和 443 的存取,A
82,82.Type 1 Hypervisor 會直接在系統硬體上執行,正確,"錯誤

83. ( B ) 83.Type 2 Hypervisor 會直接在系統硬體上執行
A. 正確
B. 錯誤

84. ( A ) 84.Type 1 Hypervisor 也被稱為裸機 Hypervisor
A. 正確
B. 錯誤

85. ( A ) 85.可讓遠端使用者從網際網路上的任何位置連線到私人網路-
A. SSL VPN

B. 第 2 層通道通訊協定","站台對站台 VPN

86. ( C ) 86.安全地連接私人網路的兩個部分或兩個私人網路-
A. SSL VPN

B. 第 2 層通道通訊協定
C. 站台對站台 VPN

87. ( B ) 87.在兩部網路裝置之間建立未加密的連線-
A. SSL VPN

B. 第 2 層通道通訊協定
C. 站台對站台 VPN

88. ( B ) 88.有關使用 Type 2 Hypervisor 虛擬機的敘述:如果重新啟動
一部虛擬機器,伺服器上的所有其他虛擬機器都會同重新啟動
A. 正確
B. 錯誤
89. ( B ) 89.有關使用 Type 2 Hypervisor 虛擬機的敘述:您可以重新啟
動主機電腦,而完全不影響同一個實體服上的其他虛擬機器
A. 正確
B. 錯誤

90. ( B ) 90.有關使用 Type 2 Hypervisor 虛擬機的敘述:如果必須重新
啟動一部虛擬機器,您必須先重新啟動實體伺服器
A. 正確
B. 錯誤

91. ( B ) 91.SMTP 的 TCP 連接埠號碼
A. 21
B. 25
C. 53","80
E. 443",A
92,92.FTP 的 TCP 連接埠號碼,21,25,53,"80
E. 443",A
94,"94.某組織必須將其基礎結構完全移到外部署, 他們應該將資料 中心設置在哪裡?",私人雲端,公用雲端,混合雲端,虛擬機器,B
